Work Order #,CE Work Order #,Installation,Facility Number,Facility Name,Room/Area,Request DateTime,Requesting Organization,Work Category,Trade,Priority Code,Problem Description,Requested Action,Mission Impact,Status,Assigned Shop,Actions Taken,Completion Date
USSPC-FAC-2026-0026,TRIRIGA-26-12026,Peterson SFB,210,Operations Building 210,Ops Floor,2026-02-02 1835Z,USSPACECOM J2,Routine,ESS,4,Perimeter fence detection system reporting intermittent faults.,Troubleshoot perimeter detection system and restore monitoring.,No � aesthetic/comfort issue only.,Completed,CE ESS,Responded and coordinated with security forces. Identified controller firmware communication error. Replaced card reader assembly and programmed to system. Credentials tested at affected entry points; full functionality confirmed.,2026-02-21
USSPC-FAC-2026-0027,TRIRIGA-26-12027,Vandenberg SFB,51,Launch Operations Building 51,Electrical Room,2026-02-02 1905Z,USSPACECOM J6,Routine,Lighting,4,Flickering fluorescent fixtures in office area causing occupant complaints.,Replace flickering fixtures with new lamps or ballasts.,No � personnel safety and usability concern.,In Progress,CE Lighting,,
USSPC-FAC-2026-0028,TRIRIGA-26-12028,Buckley SFB,312,Operations Annex 312,Electrical Room,2026-02-02 2215Z,USSPACECOM J2,Routine,HVAC,4,Refrigerant leak suspected on split system unit; ice formation on suction line.,Locate and repair refrigerant leak; recharge system to spec.,No � aesthetic/comfort issue only.,Completed,CE HVAC,"Technician responded and found Discovered failed VFD drive board. Cleared drain, treated with biocide, and verified flow. System tested and verified operational at 90�F. All work per UFC 3-410-01.",2026-02-21
USSPC-FAC-2026-0029,TRIRIGA-26-12029,Peterson SFB,210,Operations Building 210,Loading Dock,2026-02-02 2250Z,USSPACECOM J4,Routine,Structural,3,Overhead coiling door not tracking properly; binding intermittently.,Adjust door tracks and lubricate guide system.,No � quality of life issue; no mission degradation.,Submitted,CE Structural,,
USSPC-FAC-2026-0030,TRIRIGA-26-12030,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-02 2315Z,USSPACECOM J3,Urgent,ESS,3,Electronic lock on secure door not responding to valid credentials.,Replace electronic lock actuator and verify operation.,Yes � impacts secure communications capability.,In Progress,CE ESS,,
USSPC-FAC-2026-0031,TRIRIGA-26-12031,Vandenberg SFB,77,Secure Data Facility 77,Electrical Vault,2026-02-03 0155Z,USSPACECOM J4,Urgent,Lighting,2,Emergency lighting battery unit failed self-test; no backup illumination.,Replace emergency lighting battery unit and test.,Yes � intermittent loss of operator consoles.,In Progress,CE Lighting,,
USSPC-FAC-2026-0032,TRIRIGA-26-12032,Peterson SFB,3,Power Generation Facility 3,Switchgear Room,2026-02-03 0305Z,USSPACECOM J3,Urgent,Electrical,3,Circuit breaker E-5 will not reset after trip; possible internal fault.,Replace faulty circuit breaker and verify proper operation.,Yes � intermittent loss of operator consoles.,In Progress,CE Electrical,,
USSPC-FAC-2026-0033,TRIRIGA-26-12033,Peterson SFB,198,Operations Building 198,Loading Area,2026-02-03 0340Z,USSPACECOM J6,Urgent,Electrical,3,Voltage sag measured at distribution panel; equipment brownouts reported.,Investigate voltage sag source and correct distribution issue.,Yes � supports satellite uplink equipment.,Completed,CE Electrical,Responded to work order. Discovered deteriorated wire insulation in conduit. Replaced failed battery cells and load tested string. Thermal scan confirmed normal temperatures. Completed per NEC requirements.,2026-02-08
USSPC-FAC-2026-0034,TRIRIGA-26-12034,Peterson SFB,145,Operations Building 145,Restroom Corridor,2026-02-03 0400Z,USSPACECOM J6,Emergency,Electrical,2,Emergency power receptacle non-functional at designated location.,Repair or replace emergency power receptacle.,Yes � impacts secure communications capability.,In Progress,CE Electrical,,
USSPC-FAC-2026-0035,TRIRIGA-26-12035,Peterson SFB,42,Administrative Building 42,Restroom A,2026-02-03 0455Z,USSPACECOM J6,Routine,Fire Protection,4,Fire alarm notification appliances inaudible in high-ambient-noise areas.,Adjust notification appliance output or add devices for coverage.,No � preventive maintenance.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0036,TRIRIGA-26-12036,Vandenberg SFB,51,Launch Operations Building 51,Equipment Room,2026-02-03 0730Z,USSPACECOM J6,Preventive Maintenance,ESS,4,Preventive maintenance on access control system firmware and hardware.,Repair intercom system and test two-way communication.,No � preventive maintenance.,Completed,CE ESS,Technician inspected ESS components. Found door lock solenoid failure. Cleaned sensor lens and recalibrated detection zone. System tested end-to-end; all access points verified operational. Security notified of restoration.,2026-02-15
USSPC-FAC-2026-0037,TRIRIGA-26-12037,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-03 0810Z,USSPACECOM J4,Urgent,Electrical,3,PDU in server room reporting overload alarm on Phase B.,Investigate PDU overload and redistribute loads as needed.,Yes � supports satellite uplink equipment.,In Progress,CE Electrical,,
USSPC-FAC-2026-0038,TRIRIGA-26-12038,Schriever SFB,220,Mission Support Building 220,Corridor B,2026-02-03 0835Z,USSPACECOM J2,Emergency,Electrical,1,Frequent breaker trips observed on mission operations power panel E-8.,"Inspect panel, identify overload condition, and replace faulty breakers.",Yes � affects missile warning operations continuity.,In Progress,CE Electrical,,
USSPC-FAC-2026-0039,TRIRIGA-26-12039,Buckley SFB,312,Operations Annex 312,Rooftop,2026-02-03 1050Z,USSPACECOM J3,Routine,Fire Protection,3,Clean agent suppression system showing low bottle pressure.,Recharge or replace clean agent suppression bottles.,Yes � impacts secure communications capability.,Completed,CE Fire Protection,Responded and placed system in test mode. Found faulty smoke detector head. Replaced control module and reprogrammed zone. Fire alarm panel cleared; all devices verified operational.,2026-02-19
USSPC-FAC-2026-0040,TRIRIGA-26-12040,Vandenberg SFB,134,Range Control Facility 134,Telemetry Room,2026-02-03 1415Z,USSPACECOM J6,Urgent,HVAC,2,Degraded airflow detected in underfloor plenum; hot spots forming near rack rows.,Investigate underfloor airflow restriction and restore cooling distribution.,Yes � supports satellite uplink equipment.,Completed,CE HVAC,"Arrived on-site, isolated unit, and performed diagnostic. Found clogged condensate drain line. Cleaned coil, replaced filters, and verified airflow. Post-repair monitoring confirmed stable operation.",2026-02-08
USSPC-FAC-2026-0041,TRIRIGA-26-12041,Peterson SFB,105,Communications Hub 105,Ground Floor Lobby,2026-02-03 1610Z,USSPACECOM J3,Preventive Maintenance,HVAC,4,Annual filter replacement and coil cleaning for AHU-3 through AHU-7.,Replace filters and clean coils on all air handling units.,No � preventive maintenance.,In Progress,CE HVAC,,
USSPC-FAC-2026-0042,TRIRIGA-26-12042,Schriever SFB,302,Communications Facility 302,Mechanical Room,2026-02-03 2020Z,USSPACECOM J4,Routine,Electrical,3,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,No � routine upkeep; no operational impact.,In Progress,CE Electrical,,
USSPC-FAC-2026-0043,TRIRIGA-26-12043,Peterson SFB,3,Power Generation Facility 3,Switchgear Room,2026-02-03 2105Z,USSPACECOM J4,Preventive Maintenance,HVAC,4,Preventive maintenance due on chiller plant per manufacturer interval.,Perform chiller preventive maintenance per manufacturer requirements.,No � preventive maintenance.,Scheduled,CE HVAC,,
USSPC-FAC-2026-0044,TRIRIGA-26-12044,Schriever SFB,400,Satellite Operations Facility 400,Server Room,2026-02-03 2250Z,USSPACECOM J3,Routine,ESS,4,Perimeter fence detection system reporting intermittent faults.,Troubleshoot perimeter detection system and restore monitoring.,No � preventive maintenance.,Submitted,CE ESS,,
USSPC-FAC-2026-0045,TRIRIGA-26-12045,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-04 0210Z,USSPACECOM J3,Urgent,HVAC,2,Cooling tower fan motor tripped on overload; condenser water temperature rising.,Repair cooling tower fan motor and test operation.,Yes � intermittent loss of operator consoles.,Submitted,CE HVAC,,
USSPC-FAC-2026-0046,TRIRIGA-26-12046,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-04 0440Z,USSPACECOM J6,Routine,Electrical,4,Electrical panel cover missing fasteners; exposed energized components.,Secure panel cover and replace missing fasteners.,No � quality of life issue; no mission degradation.,Submitted,CE Electrical,,
USSPC-FAC-2026-0047,TRIRIGA-26-12047,Schriever SFB,302,Communications Facility 302,Roof,2026-02-04 0635Z,USSPACECOM J4,Routine,HVAC,3,Thermostat in zone 9 non-responsive; unable to maintain setpoint.,Replace thermostat and verify zone control operation.,Potential � risk to nearby equipment if condition worsens.,Completed,CE HVAC,Inspected system per work order. Identified refrigerant undercharge due to slow leak at service valve. Replaced VFD drive board and programmed to original parameters. Verified airflow and temperature within acceptable parameters. Documentation submitted.,2026-02-22
USSPC-FAC-2026-0048,TRIRIGA-26-12048,Peterson SFB,145,Operations Building 145,Entry Vestibule,2026-02-04 0655Z,USSPACECOM J2,Urgent,Structural,3,Ceiling tile damage from water intrusion; multiple tiles sagging.,Replace damaged ceiling tiles and identify water source.,No � personnel safety concern.,Approved,CE Structural,,
USSPC-FAC-2026-0049,TRIRIGA-26-12049,Peterson SFB,42,Administrative Building 42,Parking Structure,2026-02-04 0715Z,USSPACECOM J2,Routine,HVAC,4,Cooling unit shut down unexpectedly; room temperature rising steadily.,Restore HVAC operation and verify system stability.,No � aesthetic/comfort issue only.,Submitted,CE HVAC,,
USSPC-FAC-2026-0050,TRIRIGA-26-12050,Peterson SFB,3,Power Generation Facility 3,Generator Bay 2,2026-02-04 1225Z,USSPACECOM J4,Emergency,HVAC,2,Return air temperature sensor reading erratic values; zone control degraded.,Replace return air temperature sensor and recalibrate.,Yes � impacts secure communications capability.,Completed,CE HVAC,Technician responded and found Found BAS controller communication card fault. Replaced capacitor and verified compressor amp draw within spec. System tested and verified operational at 93�F. All work per UFC 3-410-01.,2026-02-04
USSPC-FAC-2026-0051,TRIRIGA-26-12051,Schriever SFB,155,Operations Building 155,Electrical Room 2,2026-02-04 1335Z,USSPACECOM J2,Routine,Electrical,4,Ground fault detected on branch circuit serving critical equipment.,Locate and clear ground fault on branch circuit.,No � administrative area; no mission systems affected.,Submitted,CE Electrical,,
USSPC-FAC-2026-0052,TRIRIGA-26-12052,Schriever SFB,400,Satellite Operations Facility 400,Antenna Maintenance Area,2026-02-04 1345Z,USSPACECOM J4,Emergency,Structural,1,Retaining wall showing lateral displacement; drainage weeps clogged.,Clear retaining wall weeps and assess lateral stability.,Yes � mission-critical data processing environment.,Completed,CE Structural,Technician assessed condition and documented findings. Identified moisture intrusion through failed sealant. Patched spalled area with structural repair mortar. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-04
USSPC-FAC-2026-0053,TRIRIGA-26-12053,Vandenberg SFB,77,Secure Data Facility 77,Battery Room,2026-02-04 1540Z,USSPACECOM J3,Routine,Electrical,3,Ground fault detected on branch circuit serving critical equipment.,Locate and clear ground fault on branch circuit.,Yes � impacts real-time telemetry processing.,In Progress,CE Electrical,,
USSPC-FAC-2026-0054,TRIRIGA-26-12054,Peterson SFB,198,Operations Building 198,Corridor B,2026-02-04 1645Z,USSPACECOM J6,Urgent,Electrical,3,Arc flash indicators detected during routine thermographic scan of switchgear.,De-energize and inspect switchgear; address arc flash indicators.,No � preventive maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0055,TRIRIGA-26-12055,Vandenberg SFB,134,Range Control Facility 134,Telemetry Room,2026-02-04 1745Z,USSPACECOM J6,Urgent,Fire Protection,3,Fire door held open with unauthorized wedge; closer mechanism degraded.,Repair fire door closer mechanism and verify self-closing.,Yes � delayed access to mission operations spaces.,Completed,CE Fire Protection,Responded and placed system in test mode. Identified low agent bottle pressure from slow leak. Replaced control module and reprogrammed zone. Fire alarm panel cleared; all devices verified operational.,2026-02-05
USSPC-FAC-2026-0056,TRIRIGA-26-12056,Peterson SFB,145,Operations Building 145,Mechanical Room,2026-02-04 1830Z,USSPACECOM J4,Preventive Maintenance,Electrical,4,Preventive maintenance due on UPS battery string per manufacturer schedule.,Inspect and test protective relays and breakers.,No � preventive maintenance.,Scheduled,CE Electrical,,
USSPC-FAC-2026-0057,TRIRIGA-26-12057,Vandenberg SFB,134,Range Control Facility 134,Exterior HVAC Pad,2026-02-04 1905Z,USSPACECOM J4,Urgent,Structural,2,Floor tile cracked and lifting in high-traffic corridor; trip hazard.,Remove damaged floor tile and install replacement.,Yes � impacts secure communications capability.,Completed,CE Structural,Technician assessed condition and documented findings. Identified moisture intrusion through failed sealant. Applied new sealant and verified weathertight condition. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-09
USSPC-FAC-2026-0058,TRIRIGA-26-12058,Buckley SFB,180,Mission Support Facility 180,Main Hall,2026-02-04 2010Z,USSPACECOM J2,Routine,Structural,4,Expansion joint sealant deteriorated on exterior wall; gap visible.,Remove and replace expansion joint sealant.,No � routine upkeep; no operational impact.,Approved,CE Structural,,
USSPC-FAC-2026-0059,TRIRIGA-26-12059,Peterson SFB,3,Power Generation Facility 3,Generator Bay 1,2026-02-04 2305Z,USSPACECOM J2,Routine,ESS,4,Perimeter fence detection system reporting intermittent faults.,Troubleshoot perimeter detection system and restore monitoring.,No � administrative area; no mission systems affected.,Approved,CE ESS,,
USSPC-FAC-2026-0060,TRIRIGA-26-12060,Peterson SFB,145,Operations Building 145,Restroom Corridor,2026-02-05 0435Z,USSPACECOM J3,Urgent,Electrical,2,Neutral-to-ground voltage elevated at 2V; exceeding acceptable limits.,Investigate elevated neutral-to-ground voltage and correct.,Yes � intermittent loss of operator consoles.,Submitted,CE Electrical,,
USSPC-FAC-2026-0061,TRIRIGA-26-12061,Peterson SFB,88,Data Processing Facility 88,Server Hall A,2026-02-05 0610Z,USSPACECOM J4,Routine,Electrical,3,Electrical panel cover missing fasteners; exposed energized components.,Secure panel cover and replace missing fasteners.,Potential � could impact mission systems if leak reaches equipment.,In Progress,CE Electrical,,
USSPC-FAC-2026-0062,TRIRIGA-26-12062,Buckley SFB,180,Mission Support Facility 180,Mechanical Room,2026-02-05 0620Z,USSPACECOM J4,Preventive Maintenance,HVAC,4,Seasonal changeover inspection required for heating/cooling systems.,Inspect and repair air handling unit; restore cooling to acceptable range.,No � preventive maintenance.,Scheduled,CE HVAC,,
USSPC-FAC-2026-0063,TRIRIGA-26-12063,Schriever SFB,400,Satellite Operations Facility 400,Antenna Maintenance Area,2026-02-05 0850Z,USSPACECOM J4,Routine,Lighting,3,Parking lot light pole 9 dark; ballast or photocell suspected.,Replace ballast or photocell and restore pole light operation.,Potential � risk to nearby equipment if condition worsens.,In Progress,CE Lighting,,
USSPC-FAC-2026-0064,TRIRIGA-26-12064,Peterson SFB,88,Data Processing Facility 88,Receiving Area,2026-02-05 0940Z,USSPACECOM J2,Urgent,Lighting,2,High-bay lights in warehouse area cycling on and off intermittently.,Troubleshoot high-bay fixture cycling and correct.,No � general facility maintenance.,In Progress,CE Lighting,,
USSPC-FAC-2026-0065,TRIRIGA-26-12065,Peterson SFB,105,Communications Hub 105,Ground Floor Lobby,2026-02-05 1045Z,USSPACECOM J3,Routine,ESS,3,Electronic lock on secure door not responding to valid credentials.,Replace electronic lock actuator and verify operation.,Yes � degrades mission operations center readiness.,Submitted,CE ESS,,
USSPC-FAC-2026-0066,TRIRIGA-26-12066,Peterson SFB,42,Administrative Building 42,Parking Structure,2026-02-05 1135Z,USSPACECOM J6,Preventive Maintenance,HVAC,4,Seasonal changeover inspection required for heating/cooling systems.,Clear condensate drain and inspect for root cause of overflow.,No � preventive maintenance.,In Progress,CE HVAC,,
USSPC-FAC-2026-0067,TRIRIGA-26-12067,Buckley SFB,312,Operations Annex 312,Rooftop,2026-02-05 1220Z,USSPACECOM J4,Routine,Electrical,4,Ground fault detected on branch circuit serving critical equipment.,Locate and clear ground fault on branch circuit.,No � personnel safety concern.,In Progress,CE Electrical,,
USSPC-FAC-2026-0068,TRIRIGA-26-12068,Schriever SFB,155,Operations Building 155,UPS Room,2026-02-05 1920Z,USSPACECOM J3,Urgent,Electrical,3,Arc flash indicators detected during routine thermographic scan of switchgear.,De-energize and inspect switchgear; address arc flash indicators.,Yes � affects missile warning operations continuity.,In Progress,CE Electrical,,
USSPC-FAC-2026-0069,TRIRIGA-26-12069,Schriever SFB,220,Mission Support Building 220,Electrical Closet,2026-02-05 1940Z,USSPACECOM J3,Preventive Maintenance,HVAC,4,Preventive maintenance due on chiller plant per manufacturer interval.,"Inspect, clean, and document AHU condition.",No � preventive maintenance.,Approved,CE HVAC,,
USSPC-FAC-2026-0070,TRIRIGA-26-12070,Peterson SFB,210,Operations Building 210,Electrical Room 1A,2026-02-05 1940Z,USSPACECOM J2,Urgent,Plumbing,3,Condensate drain line from AHU clogged; water collecting in drain pan.,Clear condensate drain line and treat to prevent recurrence.,Yes � degrades ground station equipment reliability.,Approved,CE Plumbing,,
USSPC-FAC-2026-0071,TRIRIGA-26-12071,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-05 2020Z,USSPACECOM J6,Emergency,Fire Protection,1,Fire alarm pull station damaged at egress point; device non-functional.,Replace damaged fire alarm pull station.,Yes � delayed access to mission operations spaces.,Completed,CE Fire Protection,Technician inspected system per NFPA 72/25 requirements. Found corroded alarm pull station contacts. Replaced control module and reprogrammed zone. System placed back in service and tested. All zones normal.,2026-02-06
USSPC-FAC-2026-0072,TRIRIGA-26-12072,Vandenberg SFB,51,Launch Operations Building 51,Roof,2026-02-05 2025Z,USSPACECOM J3,Urgent,Lighting,3,Exit sign lamp out at emergency egress route.,Replace exit sign lamp and verify illumination.,Potential � could impact mission systems if leak reaches equipment.,In Progress,CE Lighting,,
USSPC-FAC-2026-0073,TRIRIGA-26-12073,Peterson SFB,210,Operations Building 210,SR-03 (Secure Server Room),2026-02-05 2105Z,USSPACECOM J2,Urgent,HVAC,2,Excessive vibration noted on supply fan motor; bearing noise audible.,Inspect fan motor bearings and replace if worn.,Yes � degrades mission operations center readiness.,Completed,CE HVAC,Technician responded and found Found seized bearing on supply fan. Replaced capacitor and verified compressor amp draw within spec. System tested and verified operational at 86�F. All work per UFC 3-410-01.,2026-02-09
USSPC-FAC-2026-0074,TRIRIGA-26-12074,Schriever SFB,400,Satellite Operations Facility 400,Antenna Maintenance Area,2026-02-05 2205Z,USSPACECOM J3,Preventive Maintenance,Fire Protection,4,Quarterly fire sprinkler system inspection due.,Inspect and restore fire suppression system functionality.,No � preventive maintenance.,In Progress,CE Fire Protection,,
